lat,lon,accident_count
45.340748699999985,-75.7615731,7
45.37865419999999,-75.73332100000002,16
45.391364699999976,-75.6807993,9
45.39345659999999,-75.7508866,4
45.404391499999996,-75.6891698,8
45.40515039999999,-75.6895933,10
45.40584899999999,-75.7083748,17
45.40857479999999,-75.6915501,42
45.409041599999995,-75.7119968,6
45.4094129,-75.694272,25
45.41316969999999,-75.69745100000002,3
45.41464789999999,-75.6876049,10
45.41562569999999,-75.6884469,2
45.42090009999999,-75.7039606,24
45.42105029999999,-75.6958572,15
45.429487399999985,-75.6940632,10
45.43168529999999,-75.56454,13
45.43620729999999,-75.6612852,15
